nome;idade;peso;especie;sexo;raca;historico_doencas;estado_vacinal;temperamento;alergias;risco
Paciente75;5;41.1;Canina;F;Bulldog;Insuficiência Renal;Desconhecido;Calmo;Ácaro;Sem Problemas
Paciente76;0;2.7;Canina;M;Vira-lata;Cardiopatia;Incompleto;Sociável;Medicamento;Internação
Paciente78;13;4.1;Canina;M;Pitbull;Cardiopatia;Desconhecido;Medroso;Pólen;Sem Problemas
Paciente81;14;21.6;Canina;M;Golden Retriever;Alergia Crônica;Incompleto;Medroso;Pólen;Morte
Paciente84;4;27.7;Canina;M;Labrador;Diabetes;Desconhecido;Agressivo;Ração;Internação
Paciente86;2;52.7;Canina;F;Bulldog;Cardiopatia;Incompleto;Medroso;Ácaro;Sem Problemas
Paciente87;3;36.9;Canina;F;Vira-lata;Problema Articular;Desconhecido;Agressivo;Medicamento;Sem Problemas
Paciente90;0;33.1;Canina;F;Poodle;Problema Articular;Desconhecido;Medroso;Pólen;Internação
Paciente91;16;50.1;Canina;F;Golden Retriever;Nenhum;Desconhecido;Sociável;Nenhuma;Sem Problemas
Paciente94;17;17.0;Canina;M;Labrador;Nenhum;Completo;Medroso;Medicamento;Sem Problemas
Paciente95;6;49.6;Canina;F;Vira-lata;Diabetes;Desconhecido;Medroso;Ácaro;Internação
Paciente96;8;10.5;Canina;F;Labrador;Insuficiência Renal;Completo;Calmo;Nenhuma;Sem Problemas
Paciente99;14;9.3;Canina;F;Bulldog;Insuficiência Renal;Incompleto;Calmo;Ração;Morte
Paciente100;6;26.8;Canina;M;Golden Retriever;Insuficiência Renal;Completo;Calmo;Ácaro;Sem Problemas
Paciente102;3;50.0;Canina;F;Vira-lata;Problema Articular;Desconhecido;Sociável;Medicamento;Morte
Paciente106;4;24.2;Canina;F;Vira-lata;Alergia Crônica;Desconhecido;Agressivo;Ração;Sem Problemas
Paciente107;17;47.2;Canina;F;Pitbull;Insuficiência Renal;Completo;Sociável;Nenhuma;Sem Problemas
Paciente111;17;33.5;Canina;F;Golden Retriever;Insuficiência Renal;Incompleto;Agressivo;Medicamento;Sem Problemas
Paciente114;9;38.1;Canina;F;Poodle;Problema Articular;Desconhecido;Sociável;Ácaro;Sem Problemas
Paciente115;2;59.3;Canina;M;Poodle;Nenhum;Desconhecido;Medroso;Medicamento;Sem Problemas
Paciente117;10;7.8;Canina;F;Golden Retriever;Alergia Crônica;Incompleto;Medroso;Pólen;Internação
Paciente118;14;31.7;Canina;M;Bulldog;Nenhum;Completo;Medroso;Ácaro;Sem Problemas
Paciente119;0;14.0;Canina;F;Pitbull;Nenhum;Desconhecido;Calmo;Ração;Sem Problemas
Paciente121;8;41.2;Canina;F;Vira-lata;Alergia Crônica;Desconhecido;Sociável;Nenhuma;Internação
Paciente129;6;6.5;Canina;M;Poodle;Cardiopatia;Completo;Medroso;Nenhuma;Sem Problemas
Paciente131;14;14.8;Canina;F;Golden Retriever;Alergia Crônica;Incompleto;Sociável;Nenhuma;Sem Problemas
Paciente134;2;33.0;Canina;F;Vira-lata;Insuficiência Renal;Completo;Agressivo;Ácaro;Internação
Paciente135;19;18.5;Canina;F;Pitbull;Nenhum;Completo;Sociável;Ração;Internação
Paciente136;6;26.8;Canina;F;Poodle;Insuficiência Renal;Desconhecido;Calmo;Ácaro;Sem Problemas
Paciente137;17;37.1;Canina;F;Pitbull;Alergia Crônica;Completo;Sociável;Ácaro;Sem Problemas
Paciente138;9;23.3;Canina;M;Golden Retriever;Alergia Crônica;Incompleto;Sociável;Medicamento;Sem Problemas
Paciente140;18;50.3;Canina;F;Vira-lata;Alergia Crônica;Desconhecido;Calmo;Ração;Sem Problemas
Paciente142;19;3.9;Canina;M;Vira-lata;Problema Articular;Desconhecido;Agressivo;Medicamento;Internação
Paciente145;16;42.2;Canina;M;Pitbull;Nenhum;Completo;Medroso;Ração;Sem Problemas
Paciente146;4;29.5;Canina;M;Vira-lata;Insuficiência Renal;Incompleto;Calmo;Pólen;Morte
Paciente148;4;44.2;Canina;M;Vira-lata;Nenhum;Desconhecido;Calmo;Ácaro;Sem Problemas
Paciente151;1;18.6;Canina;M;Vira-lata;Nenhum;Incompleto;Agressivo;Ração;Sem Problemas
Paciente152;2;33.7;Canina;M;Labrador;Insuficiência Renal;Completo;Calmo;Medicamento;Sem Problemas
Paciente159;0;28.8;Canina;M;Labrador;Alergia Crônica;Incompleto;Agressivo;Nenhuma;Internação
Paciente160;0;42.0;Canina;F;Vira-lata;Alergia Crônica;Completo;Sociável;Pólen;Morte
Paciente161;8;8.5;Canina;F;Poodle;Problema Articular;Desconhecido;Sociável;Nenhuma;Sem Problemas
Paciente165;11;36.9;Canina;M;Labrador;Cardiopatia;Desconhecido;Calmo;Ração;Internação
Paciente168;19;34.2;Canina;M;Pitbull;Nenhum;Desconhecido;Calmo;Pólen;Internação
Paciente170;18;49.3;Canina;M;Vira-lata;Cardiopatia;Completo;Sociável;Pólen;Sem Problemas
Paciente173;6;9.0;Canina;F;Vira-lata;Cardiopatia;Desconhecido;Calmo;Nenhuma;Sem Problemas
Paciente177;3;15.6;Canina;M;Pitbull;Diabetes;Completo;Calmo;Ração;Sem Problemas
Paciente187;0;45.8;Canina;F;Bulldog;Problema Articular;Incompleto;Sociável;Pólen;Sem Problemas
Paciente188;15;24.0;Canina;F;Golden Retriever;Nenhum;Incompleto;Calmo;Nenhuma;Internação
Paciente189;13;31.3;Canina;F;Golden Retriever;Nenhum;Completo;Medroso;Pólen;Internação
Paciente190;7;9.8;Canina;M;Poodle;Diabetes;Desconhecido;Calmo;Medicamento;Sem Problemas
Paciente191;13;8.6;Canina;F;Vira-lata;Nenhum;Incompleto;Agressivo;Pólen;Sem Problemas
Paciente192;6;13.3;Canina;F;Vira-lata;Insuficiência Renal;Incompleto;Medroso;Ração;Sem Problemas
Paciente193;13;47.7;Canina;M;Labrador;Nenhum;Completo;Medroso;Pólen;Internação
Paciente194;4;15.4;Canina;F;Bulldog;Alergia Crônica;Completo;Agressivo;Medicamento;Sem Problemas
Paciente198;2;9.2;Canina;F;Poodle;Nenhum;Desconhecido;Agressivo;Ácaro;Sem Problemas
Paciente199;11;33.2;Canina;M;Bulldog;Insuficiência Renal;Incompleto;Medroso;Pólen;Sem Problemas
Paciente202;7;22.2;Canina;F;Golden Retriever;Diabetes;Incompleto;Medroso;Ácaro;Morte
Paciente203;3;31.6;Canina;F;Vira-lata;Nenhum;Desconhecido;Medroso;Medicamento;Sem Problemas
Paciente204;5;21.1;Canina;F;Vira-lata;Problema Articular;Incompleto;Calmo;Ração;Sem Problemas
Paciente205;8;19.7;Canina;F;Poodle;Diabetes;Desconhecido;Calmo;Medicamento;Sem Problemas
Paciente206;1;36.6;Canina;M;Vira-lata;Alergia Crônica;Completo;Medroso;Nenhuma;Sem Problemas
Paciente207;7;32.2;Canina;M;Pitbull;Diabetes;Incompleto;Agressivo;Medicamento;Morte
Paciente210;8;20.5;Canina;F;Pitbull;Insuficiência Renal;Desconhecido;Medroso;Ácaro;Morte
Paciente212;8;11.8;Canina;M;Pitbull;Problema Articular;Completo;Agressivo;Ácaro;Morte
Paciente214;9;25.2;Canina;M;Vira-lata;Problema Articular;Incompleto;Calmo;Nenhuma;Sem Problemas
Paciente216;19;9.5;Canina;M;Pitbull;Diabetes;Desconhecido;Agressivo;Ração;Internação
Paciente217;3;29.9;Canina;M;Poodle;Diabetes;Completo;Sociável;Pólen;Sem Problemas
Paciente218;0;11.5;Canina;M;Pitbull;Problema Articular;Desconhecido;Calmo;Ácaro;Sem Problemas
Paciente219;1;58.6;Canina;M;Labrador;Insuficiência Renal;Incompleto;Calmo;Ácaro;Sem Problemas
Paciente220;12;12.9;Canina;F;Vira-lata;Cardiopatia;Completo;Calmo;Ração;Sem Problemas
Paciente221;6;9.6;Canina;M;Golden Retriever;Alergia Crônica;Incompleto;Agressivo;Ração;Sem Problemas
Paciente222;7;4.7;Canina;F;Poodle;Cardiopatia;Desconhecido;Sociável;Pólen;Sem Problemas
Paciente223;10;57.6;Canina;F;Bulldog;Problema Articular;Incompleto;Medroso;Nenhuma;Sem Problemas
Paciente224;4;53.9;Canina;F;Bulldog;Alergia Crônica;Desconhecido;Calmo;Medicamento;Sem Problemas
Paciente225;11;53.5;Canina;F;Vira-lata;Cardiopatia;Completo;Agressivo;Nenhuma;Sem Problemas
Paciente227;17;50.5;Canina;M;Bulldog;Diabetes;Incompleto;Sociável;Medicamento;Morte
Paciente228;9;41.3;Canina;M;Golden Retriever;Cardiopatia;Desconhecido;Medroso;Medicamento;Sem Problemas
Paciente232;10;24.9;Canina;F;Vira-lata;Insuficiência Renal;Incompleto;Agressivo;Medicamento;Morte
Paciente235;8;40.6;Canina;F;Bulldog;Nenhum;Incompleto;Sociável;Medicamento;Morte
Paciente237;14;56.5;Canina;F;Vira-lata;Insuficiência Renal;Completo;Calmo;Ácaro;Sem Problemas
Paciente238;9;57.6;Canina;M;Poodle;Insuficiência Renal;Incompleto;Medroso;Ração;Sem Problemas
Paciente239;10;36.3;Canina;F;Golden Retriever;Diabetes;Desconhecido;Calmo;Medicamento;Morte
Paciente241;3;8.1;Canina;M;Vira-lata;Diabetes;Incompleto;Agressivo;Ácaro;Morte
Paciente242;4;59.6;Canina;M;Vira-lata;Nenhum;Incompleto;Calmo;Pólen;Sem Problemas
Paciente244;14;45.3;Canina;F;Labrador;Nenhum;Incompleto;Sociável;Ácaro;Internação
Paciente249;18;56.0;Canina;M;Poodle;Insuficiência Renal;Desconhecido;Calmo;Pólen;Internação
Paciente250;6;26.1;Canina;F;Vira-lata;Nenhum;Desconhecido;Sociável;Ácaro;Sem Problemas
Paciente251;12;33.8;Canina;F;Poodle;Diabetes;Desconhecido;Medroso;Nenhuma;Morte
Paciente256;16;47.3;Canina;F;Bulldog;Cardiopatia;Incompleto;Sociável;Pólen;Morte
Paciente257;16;52.7;Canina;M;Pitbull;Nenhum;Completo;Agressivo;Medicamento;Sem Problemas
Paciente259;15;17.7;Canina;M;Labrador;Alergia Crônica;Desconhecido;Sociável;Nenhuma;Internação
Paciente260;1;51.0;Canina;M;Pitbull;Insuficiência Renal;Desconhecido;Agressivo;Nenhuma;Internação
Paciente261;6;55.6;Canina;F;Bulldog;Cardiopatia;Desconhecido;Sociável;Medicamento;Sem Problemas
Paciente265;5;49.6;Canina;F;Vira-lata;Problema Articular;Incompleto;Agressivo;Medicamento;Sem Problemas
Paciente266;9;4.2;Canina;F;Bulldog;Diabetes;Completo;Calmo;Nenhuma;Sem Problemas
Paciente267;12;40.7;Canina;F;Poodle;Insuficiência Renal;Incompleto;Agressivo;Ração;Internação
Paciente270;1;44.8;Canina;M;Poodle;Problema Articular;Incompleto;Sociável;Medicamento;Sem Problemas
Paciente273;9;49.1;Canina;M;Poodle;Alergia Crônica;Incompleto;Sociável;Nenhuma;Internação
Paciente279;9;51.5;Canina;M;Poodle;Insuficiência Renal;Completo;Agressivo;Medicamento;Sem Problemas
Paciente280;3;13.2;Canina;F;Poodle;Alergia Crônica;Completo;Agressivo;Ácaro;Sem Problemas
Paciente287;16;28.5;Canina;M;Labrador;Alergia Crônica;Completo;Calmo;Ração;Sem Problemas
Paciente288;1;58.2;Canina;M;Poodle;Nenhum;Incompleto;Sociável;Ração;Sem Problemas
Paciente289;11;40.7;Canina;M;Pitbull;Problema Articular;Incompleto;Agressivo;Ração;Sem Problemas
Paciente291;11;17.6;Canina;F;Golden Retriever;Alergia Crônica;Incompleto;Calmo;Medicamento;Sem Problemas
Paciente295;18;15.3;Canina;M;Labrador;Alergia Crônica;Incompleto;Calmo;Medicamento;Sem Problemas
Paciente296;1;12.8;Canina;F;Golden Retriever;Insuficiência Renal;Desconhecido;Calmo;Nenhuma;Sem Problemas
Paciente297;11;54.2;Canina;F;Golden Retriever;Insuficiência Renal;Incompleto;Sociável;Ácaro;Sem Problemas
Paciente300;16;43.9;Canina;M;Pitbull;Diabetes;Incompleto;Medroso;Ácaro;Sem Problemas
Paciente301;19;38.2;Canina;M;Vira-lata;Cardiopatia;Completo;Medroso;Medicamento;Sem Problemas
Paciente303;2;46.7;Canina;F;Pitbull;Cardiopatia;Incompleto;Calmo;Ração;Internação
Paciente304;15;35.9;Canina;F;Poodle;Nenhum;Completo;Medroso;Ácaro;Sem Problemas
Paciente305;12;18.3;Canina;M;Poodle;Diabetes;Desconhecido;Agressivo;Pólen;Sem Problemas
Paciente306;3;59.6;Canina;F;Golden Retriever;Problema Articular;Completo;Calmo;Nenhuma;Sem Problemas
Paciente308;5;52.6;Canina;F;Poodle;Problema Articular;Incompleto;Medroso;Ácaro;Sem Problemas
Paciente318;10;17.7;Canina;M;Poodle;Insuficiência Renal;Desconhecido;Agressivo;Medicamento;Sem Problemas
Paciente320;16;43.5;Canina;M;Labrador;Problema Articular;Desconhecido;Agressivo;Ácaro;Internação
Paciente321;9;49.9;Canina;F;Pitbull;Insuficiência Renal;Desconhecido;Agressivo;Medicamento;Sem Problemas
Paciente323;8;31.4;Canina;F;Bulldog;Alergia Crônica;Incompleto;Sociável;Nenhuma;Sem Problemas
Paciente326;14;12.1;Canina;F;Poodle;Nenhum;Incompleto;Sociável;Nenhuma;Sem Problemas
Paciente327;8;52.2;Canina;F;Pitbull;Alergia Crônica;Completo;Medroso;Medicamento;Sem Problemas
Paciente328;3;36.6;Canina;M;Pitbull;Problema Articular;Completo;Agressivo;Ácaro;Sem Problemas
Paciente330;5;40.4;Canina;M;Vira-lata;Diabetes;Incompleto;Medroso;Ração;Sem Problemas
Paciente331;0;54.0;Canina;F;Labrador;Nenhum;Desconhecido;Sociável;Ácaro;Internação
Paciente332;15;8.1;Canina;F;Golden Retriever;Problema Articular;Desconhecido;Sociável;Nenhuma;Internação
Paciente333;4;25.4;Canina;F;Poodle;Alergia Crônica;Incompleto;Calmo;Nenhuma;Sem Problemas
Paciente337;1;15.3;Canina;F;Bulldog;Diabetes;Desconhecido;Sociável;Pólen;Internação
Paciente339;1;43.7;Canina;F;Labrador;Problema Articular;Completo;Sociável;Ácaro;Morte
Paciente340;7;31.6;Canina;M;Labrador;Alergia Crônica;Incompleto;Medroso;Ração;Sem Problemas
Paciente341;2;48.9;Canina;M;Vira-lata;Alergia Crônica;Desconhecido;Medroso;Ácaro;Sem Problemas
Paciente342;4;2.4;Canina;M;Labrador;Cardiopatia;Desconhecido;Agressivo;Medicamento;Sem Problemas
Paciente344;14;19.9;Canina;F;Golden Retriever;Alergia Crônica;Completo;Medroso;Ração;Morte
Paciente346;2;31.6;Canina;M;Golden Retriever;Diabetes;Completo;Medroso;Medicamento;Sem Problemas
Paciente347;3;3.6;Canina;F;Vira-lata;Insuficiência Renal;Completo;Agressivo;Pólen;Sem Problemas
Paciente350;5;50.9;Canina;M;Poodle;Diabetes;Incompleto;Agressivo;Pólen;Sem Problemas
Paciente352;6;32.1;Canina;M;Golden Retriever;Diabetes;Completo;Sociável;Pólen;Sem Problemas
Paciente353;12;34.9;Canina;M;Bulldog;Cardiopatia;Desconhecido;Calmo;Ração;Morte
Paciente355;16;21.5;Canina;F;Pitbull;Cardiopatia;Desconhecido;Medroso;Nenhuma;Sem Problemas
Paciente356;16;28.6;Canina;F;Pitbull;Alergia Crônica;Incompleto;Agressivo;Ácaro;Morte
Paciente357;11;15.7;Canina;F;Vira-lata;Diabetes;Desconhecido;Agressivo;Nenhuma;Internação
Paciente358;9;10.8;Canina;F;Vira-lata;Problema Articular;Completo;Calmo;Medicamento;Morte
Paciente359;4;14.0;Canina;F;Vira-lata;Diabetes;Completo;Sociável;Medicamento;Sem Problemas
Paciente360;3;14.7;Canina;M;Golden Retriever;Cardiopatia;Desconhecido;Sociável;Ácaro;Sem Problemas
Paciente362;17;40.8;Canina;F;Vira-lata;Problema Articular;Completo;Sociável;Ácaro;Sem Problemas
Paciente366;10;51.7;Canina;M;Bulldog;Cardiopatia;Desconhecido;Sociável;Ácaro;Sem Problemas
Paciente367;12;29.7;Canina;F;Poodle;Diabetes;Desconhecido;Medroso;Pólen;Sem Problemas
Paciente369;6;44.7;Canina;F;Bulldog;Diabetes;Incompleto;Sociável;Nenhuma;Internação
Paciente371;18;6.9;Canina;M;Vira-lata;Cardiopatia;Completo;Calmo;Pólen;Internação
Paciente372;3;26.8;Canina;F;Vira-lata;Cardiopatia;Completo;Sociável;Medicamento;Sem Problemas
Paciente375;7;13.7;Canina;M;Labrador;Cardiopatia;Desconhecido;Calmo;Medicamento;Sem Problemas
Paciente376;15;46.7;Canina;M;Bulldog;Insuficiência Renal;Incompleto;Agressivo;Ração;Morte
Paciente377;12;54.1;Canina;M;Golden Retriever;Alergia Crônica;Desconhecido;Agressivo;Pólen;Internação
Paciente378;1;4.6;Canina;F;Golden Retriever;Insuficiência Renal;Incompleto;Medroso;Nenhuma;Sem Problemas
Paciente379;7;32.2;Canina;F;Golden Retriever;Cardiopatia;Completo;Calmo;Ácaro;Sem Problemas
Paciente382;1;37.8;Canina;F;Bulldog;Cardiopatia;Completo;Agressivo;Nenhuma;Morte
Paciente384;3;54.9;Canina;M;Golden Retriever;Nenhum;Completo;Calmo;Ácaro;Morte
Paciente385;9;50.9;Canina;F;Labrador;Alergia Crônica;Incompleto;Agressivo;Pólen;Morte
Paciente388;2;3.1;Canina;M;Pitbull;Problema Articular;Completo;Medroso;Nenhuma;Sem Problemas
Paciente389;1;6.1;Canina;F;Bulldog;Alergia Crônica;Completo;Agressivo;Medicamento;Sem Problemas
Paciente390;19;49.3;Canina;F;Labrador;Cardiopatia;Incompleto;Sociável;Nenhuma;Sem Problemas
Paciente395;19;37.6;Canina;M;Golden Retriever;Cardiopatia;Desconhecido;Calmo;Medicamento;Internação
Paciente398;19;40.3;Canina;M;Vira-lata;Diabetes;Desconhecido;Calmo;Medicamento;Sem Problemas
Paciente400;13;45.6;Canina;M;Bulldog;Cardiopatia;Completo;Medroso;Ácaro;Internação
Paciente403;19;26.0;Canina;F;Golden Retriever;Insuficiência Renal;Incompleto;Medroso;Pólen;Sem Problemas
Paciente404;8;31.4;Canina;F;Vira-lata;Nenhum;Desconhecido;Sociável;Nenhuma;Sem Problemas
Paciente405;6;59.1;Canina;F;Poodle;Alergia Crônica;Desconhecido;Agressivo;Medicamento;Sem Problemas
Paciente408;6;22.3;Canina;M;Pitbull;Nenhum;Desconhecido;Calmo;Ácaro;Sem Problemas
Paciente411;8;17.4;Canina;M;Vira-lata;Cardiopatia;Completo;Agressivo;Ácaro;Sem Problemas
Paciente412;15;38.5;Canina;M;Poodle;Nenhum;Incompleto;Sociável;Medicamento;Sem Problemas
Paciente413;4;58.3;Canina;M;Pitbull;Diabetes;Completo;Sociável;Pólen;Sem Problemas
Paciente416;7;22.7;Canina;F;Vira-lata;Cardiopatia;Desconhecido;Agressivo;Ácaro;Sem Problemas
Paciente418;14;27.5;Canina;F;Vira-lata;Alergia Crônica;Desconhecido;Sociável;Ácaro;Sem Problemas
Paciente420;12;27.1;Canina;F;Poodle;Nenhum;Incompleto;Calmo;Pólen;Sem Problemas
Paciente422;12;7.9;Canina;F;Vira-lata;Nenhum;Incompleto;Calmo;Medicamento;Sem Problemas
Paciente424;15;53.3;Canina;M;Vira-lata;Nenhum;Incompleto;Medroso;Nenhuma;Sem Problemas
Paciente425;16;34.2;Canina;F;Vira-lata;Cardiopatia;Completo;Medroso;Ácaro;Sem Problemas
Paciente426;11;50.7;Canina;F;Pitbull;Nenhum;Incompleto;Medroso;Nenhuma;Sem Problemas
Paciente427;13;52.9;Canina;M;Golden Retriever;Nenhum;Incompleto;Calmo;Nenhuma;Sem Problemas
Paciente428;19;12.4;Canina;F;Poodle;Cardiopatia;Incompleto;Sociável;Medicamento;Internação
Paciente430;18;46.1;Canina;F;Pitbull;Diabetes;Incompleto;Agressivo;Ácaro;Sem Problemas
Paciente432;2;46.4;Canina;M;Labrador;Problema Articular;Desconhecido;Medroso;Ácaro;Internação
Paciente433;8;32.5;Canina;F;Poodle;Alergia Crônica;Incompleto;Medroso;Ração;Sem Problemas
Paciente434;7;31.5;Canina;M;Vira-lata;Diabetes;Completo;Medroso;Nenhuma;Morte
Paciente435;7;21.7;Canina;F;Poodle;Insuficiência Renal;Incompleto;Calmo;Medicamento;Morte
Paciente438;12;25.9;Canina;M;Bulldog;Cardiopatia;Incompleto;Agressivo;Pólen;Sem Problemas
Paciente439;18;52.5;Canina;M;Labrador;Insuficiência Renal;Incompleto;Calmo;Ácaro;Sem Problemas
Paciente441;18;55.7;Canina;M;Poodle;Diabetes;Completo;Sociável;Pólen;Sem Problemas
Paciente442;16;16.0;Canina;M;Poodle;Insuficiência Renal;Completo;Medroso;Pólen;Sem Problemas
Paciente443;16;38.2;Canina;M;Labrador;Diabetes;Desconhecido;Agressivo;Ração;Morte
Paciente444;7;35.3;Canina;F;Golden Retriever;Insuficiência Renal;Completo;Medroso;Pólen;Sem Problemas
Paciente446;7;15.7;Canina;F;Poodle;Problema Articular;Desconhecido;Sociável;Pólen;Internação
Paciente447;12;55.4;Canina;M;Pitbull;Cardiopatia;Incompleto;Sociável;Pólen;Sem Problemas
Paciente450;9;2.8;Canina;F;Bulldog;Nenhum;Desconhecido;Sociável;Ácaro;Sem Problemas
Paciente451;2;22.9;Canina;F;Golden Retriever;Cardiopatia;Desconhecido;Medroso;Ácaro;Sem Problemas
Paciente453;3;43.0;Canina;F;Pitbull;Problema Articular;Incompleto;Medroso;Pólen;Internação
Paciente455;8;18.4;Canina;F;Pitbull;Diabetes;Incompleto;Sociável;Ácaro;Internação
Paciente457;12;17.5;Canina;M;Vira-lata;Insuficiência Renal;Incompleto;Calmo;Pólen;Internação
Paciente459;18;53.6;Canina;M;Golden Retriever;Nenhum;Desconhecido;Sociável;Nenhuma;Morte
Paciente462;7;53.2;Canina;F;Labrador;Nenhum;Completo;Sociável;Pólen;Sem Problemas
Paciente463;1;5.1;Canina;F;Golden Retriever;Cardiopatia;Desconhecido;Sociável;Nenhuma;Internação
Paciente466;16;59.1;Canina;M;Labrador;Problema Articular;Desconhecido;Calmo;Nenhuma;Sem Problemas
Paciente467;17;38.0;Canina;F;Labrador;Alergia Crônica;Completo;Sociável;Nenhuma;Internação
Paciente469;8;16.6;Canina;M;Pitbull;Cardiopatia;Incompleto;Calmo;Nenhuma;Internação
Paciente472;2;9.9;Canina;F;Poodle;Diabetes;Completo;Sociável;Medicamento;Internação
Paciente474;5;31.5;Canina;M;Vira-lata;Diabetes;Completo;Calmo;Ácaro;Sem Problemas
Paciente475;10;30.3;Canina;F;Golden Retriever;Nenhum;Desconhecido;Agressivo;Medicamento;Sem Problemas
Paciente478;15;30.9;Canina;F;Golden Retriever;Insuficiência Renal;Incompleto;Calmo;Nenhuma;Morte
Paciente479;3;59.9;Canina;M;Pitbull;Diabetes;Desconhecido;Medroso;Nenhuma;Sem Problemas
Paciente481;1;31.4;Canina;F;Pitbull;Nenhum;Completo;Medroso;Ração;Sem Problemas
Paciente483;17;27.9;Canina;M;Pitbull;Problema Articular;Completo;Medroso;Ácaro;Sem Problemas
Paciente484;9;40.9;Canina;F;Bulldog;Diabetes;Desconhecido;Medroso;Pólen;Sem Problemas
Paciente486;11;44.1;Canina;F;Bulldog;Insuficiência Renal;Desconhecido;Sociável;Pólen;Morte
Paciente487;6;36.2;Canina;F;Vira-lata;Problema Articular;Incompleto;Agressivo;Medicamento;Sem Problemas
Paciente488;14;17.3;Canina;F;Vira-lata;Insuficiência Renal;Completo;Sociável;Nenhuma;Sem Problemas
Paciente489;9;56.3;Canina;F;Vira-lata;Alergia Crônica;Completo;Sociável;Medicamento;Internação
